TRINITY_DN37009_c0_g3_i1	TRINITY_DN241_c9_g1_i2	72.981	322	75	2	2485	2803	279	591	1.75e-46	191
TRINITY_DN37009_c0_g3_i3	TRINITY_DN241_c9_g1_i2	72.981	322	75	2	1383	1701	279	591	1.12e-46	191
TRINITY_DN36986_c0_g1_i1	TRINITY_DN10778_c0_g1_i4	95.312	64	3	0	361	424	141	78	9.19e-21	103
TRINITY_DN37055_c0_g1_i1	TRINITY_DN20624_c1_g1_i1	81.618	136	24	1	5	140	169	35	8.10e-29	130
TRINITY_DN37055_c0_g1_i2	TRINITY_DN20624_c1_g1_i1	81.618	136	24	1	5	140	169	35	8.57e-29	130
TRINITY_DN36989_c0_g1_i1	TRINITY_DN5524_c0_g1_i7	83.333	84	14	0	356	439	1161	1078	5.99e-17	89.7
TRINITY_DN37035_c0_g1_i1	TRINITY_DN55092_c0_g1_i1	88.889	567	59	2	2	567	711	148	0.0	734
TRINITY_DN36996_c0_g1_i1	TRINITY_DN20899_c0_g5_i2	75.309	162	36	4	1	160	19	178	1.44e-19	98.7
TRINITY_DN37082_c0_g1_i1	TRINITY_DN8228_c4_g1_i1	81.667	120	20	1	61	180	251	134	1.69e-24	115
TRINITY_DN37082_c0_g1_i2	TRINITY_DN8228_c4_g1_i1	81.667	120	20	1	61	180	251	134	1.36e-24	115
TRINITY_DN37015_c0_g1_i1	TRINITY_DN1650_c0_g1_i8	81.944	72	12	1	221	292	194	264	1.26e-10	68.9
TRINITY_DN37031_c1_g1_i1	TRINITY_DN1000_c0_g1_i8	83.333	108	17	1	139	246	529	423	9.77e-24	111
TRINITY_DN36998_c0_g1_i1	TRINITY_DN19620_c0_g3_i1	97.059	34	1	0	255	288	164	197	2.24e-07	58.1
TRINITY_DN37048_c0_g1_i1	TRINITY_DN20608_c0_g1_i2	95.122	82	4	0	389	470	60	141	2.11e-29	131
TRINITY_DN37054_c1_g1_i1	TRINITY_DN36471_c0_g1_i1	66.667	375	80	11	25	374	356	2	2.43e-21	104
TRINITY_DN37037_c0_g1_i3	TRINITY_DN280_c0_g1_i5	85.526	76	7	2	554	627	90	17	1.29e-14	83.3
TRINITY_DN37008_c0_g1_i1	TRINITY_DN3415_c1_g1_i5	83.099	71	12	0	324	394	244	314	1.22e-12	75.2
TRINITY_DN37008_c0_g2_i19	TRINITY_DN18162_c0_g1_i3	80.303	66	10	2	2297	2359	993	1058	7.21e-06	55.4
TRINITY_DN37008_c0_g2_i5	TRINITY_DN18162_c0_g1_i3	80.303	66	10	2	2414	2476	993	1058	7.56e-06	55.4
TRINITY_DN37008_c2_g1_i1	TRINITY_DN908_c0_g2_i2	97.778	45	1	0	19	63	1126	1082	3.38e-13	77.9
TRINITY_DN45787_c0_g1_i1	TRINITY_DN8588_c2_g1_i1	76.111	360	84	2	6	364	442	84	1.01e-66	255
TRINITY_DN45787_c0_g1_i2	TRINITY_DN8588_c2_g1_i1	76.978	139	30	2	40	177	221	84	3.42e-20	100
TRINITY_DN45808_c0_g1_i1	TRINITY_DN7551_c0_g1_i1	72.043	93	26	0	92	184	101	9	9.16e-06	51.8
TRINITY_DN45814_c0_g1_i1	TRINITY_DN19403_c0_g1_i1	79.598	348	50	3	180	515	951	613	3.49e-84	314
TRINITY_DN45754_c0_g1_i1	TRINITY_DN259_c0_g7_i1	85.246	61	9	0	57	117	1825	1765	8.46e-11	70.7
TRINITY_DN45820_c0_g1_i1	TRINITY_DN4109_c5_g1_i1	81.522	92	11	3	82	171	45	132	1.27e-14	82.4
TRINITY_DN45830_c0_g1_i1	TRINITY_DN6748_c0_g2_i4	86.885	61	8	0	240	300	1593	1533	8.86e-13	75.2
TRINITY_DN45839_c0_g1_i1	TRINITY_DN5641_c0_g1_i1	74.820	278	70	0	15	292	2084	1807	1.87e-46	187
TRINITY_DN45781_c0_g1_i1	TRINITY_DN48100_c0_g1_i1	71.616	458	130	0	1	458	202	659	1.80e-62	241
TRINITY_DN45815_c0_g1_i1	TRINITY_DN6698_c0_g2_i6	100.000	31	0	0	188	218	72	42	1.65e-07	57.2
TRINITY_DN45847_c0_g1_i1	TRINITY_DN2619_c0_g3_i1	88.235	68	4	2	1	66	18	83	8.41e-15	82.4
TRINITY_DN45824_c0_g1_i1	TRINITY_DN1221_c0_g2_i1	76.000	100	22	1	202	299	573	672	5.03e-11	70.7
TRINITY_DN45766_c0_g1_i1	TRINITY_DN5974_c0_g1_i7	100.000	32	0	0	1	32	17	48	5.16e-08	59.0
TRINITY_DN45826_c0_g1_i1	TRINITY_DN6503_c1_g1_i1	91.304	46	4	0	128	173	87	132	7.46e-10	66.2
TRINITY_DN45844_c0_g1_i1	TRINITY_DN14454_c0_g1_i1	81.818	66	11	1	22	87	75	11	4.42e-09	62.6
TRINITY_DN45784_c0_g1_i1	TRINITY_DN1992_c0_g2_i5	100.000	47	0	0	205	251	83	37	3.98e-16	86.0
TRINITY_DN45796_c0_g1_i1	TRINITY_DN17692_c0_g1_i1	97.368	38	0	1	1	38	225	189	3.26e-08	61.7
TRINITY_DN45804_c0_g1_i1	TRINITY_DN942_c0_g2_i1	100.000	29	0	0	596	624	79	51	6.23e-06	53.6
TRINITY_DN45807_c0_g1_i1	TRINITY_DN20769_c0_g1_i1	85.714	126	11	3	294	419	830	948	3.59e-32	140
TRINITY_DN45823_c0_g1_i1	TRINITY_DN6131_c0_g1_i3	95.652	46	2	0	14	59	5281	5236	8.03e-13	75.2
TRINITY_DN45812_c0_g1_i1	TRINITY_DN48564_c0_g1_i1	68.485	330	99	3	146	471	8	336	1.33e-25	118
TRINITY_DN45774_c0_g1_i1	TRINITY_DN3961_c0_g3_i2	83.951	81	8	3	2	79	1400	1322	1.11e-13	79.7
TRINITY_DN45819_c0_g1_i1	TRINITY_DN2776_c1_g1_i1	86.207	58	7	1	176	233	106	162	3.46e-10	66.2
TRINITY_DN45843_c0_g1_i1	TRINITY_DN3842_c0_g2_i1	87.931	58	4	1	7	64	105	159	1.38e-11	72.5
TRINITY_DN45828_c0_g1_i1	TRINITY_DN1044_c0_g1_i9	78.667	75	12	3	464	537	402	331	5.38e-06	54.5
TRINITY_DN45822_c0_g1_i1	TRINITY_DN497_c0_g1_i1	83.673	49	5	1	146	194	629	584	7.77e-06	51.8
TRINITY_DN45759_c0_g1_i1	TRINITY_DN6028_c0_g2_i1	84.058	69	11	0	531	599	717	785	1.94e-12	76.1
TRINITY_DN48106_c0_g1_i1	TRINITY_DN3970_c0_g1_i3	82.828	99	16	1	1	98	2777	2875	8.13e-20	99.6
TRINITY_DN48115_c0_g1_i1	TRINITY_DN3713_c6_g1_i1	90.476	42	4	0	274	315	213	254	7.13e-08	59.0
